date,store_nbr,item_nbr,units
2012/1/1,1,101,0
2012/1/1,1,102,0
2012/1/1,1,103,0
2012/1/1,1,104,0
2012/1/1,1,105,0
2012/1/1,1,106,0
2012/1/1,1,107,0
2012/1/1,1,108,0
2012/1/1,1,109,0
2012/1/1,1,110,0
2012/1/1,1,111,0
2012/1/1,2,1,0
2012/1/1,2,2,0
2012/1/1,2,3,0
2012/1/1,2,4,0
2012/1/1,2,5,191
2012/1/1,2,6,0
2012/1/1,2,7,0
2012/1/1,2,8,0
2012/1/1,2,9,0
2012/1/1,2,10,0
2012/1/1,2,11,0
2012/1/1,2,12,0
2012/1/1,2,13,0
2012/1/1,2,14,0
2012/1/1,2,15,0
2012/1/1,2,16,0
2012/1/1,2,17,0
2012/1/1,2,18,0
2012/1/1,2,19,0
2012/1/1,2,20,0
2012/1/1,2,21,0
2012/1/1,2,22,0
2012/1/1,2,23,0
2012/1/1,2,24,0
2012/1/1,2,25,0
2012/1/1,2,26,0
2012/1/1,2,27,0
2012/1/1,2,28,0
2012/1/1,2,29,0
2012/1/1,2,30,0
2012/1/1,2,31,0
2012/1/1,2,32,0
2012/1/1,2,33,0
2012/1/1,2,34,0
2012/1/1,2,35,0
2012/1/1,2,36,0
2012/1/1,2,37,0
2012/1/1,2,38,0
2012/1/1,2,39,0
2012/1/1,2,40,0
2012/1/1,2,41,0
2012/1/1,2,42,0
2012/1/1,2,43,0
2012/1/1,2,44,215
2012/1/1,2,45,0
2012/1/1,2,46,0
2012/1/1,2,47,0
2012/1/1,2,48,0
2012/1/1,2,49,0
2012/1/1,2,50,0
2012/1/1,2,51,0
2012/1/1,2,52,0
2012/1/1,2,53,0
2012/1/1,2,54,0
2012/1/1,2,55,0
2012/1/1,2,56,0
2012/1/1,2,57,0
2012/1/1,2,58,0
2012/1/1,2,59,0
2012/1/1,2,60,0
2012/1/1,2,61,0
2012/1/1,2,62,0
2012/1/1,2,63,0
2012/1/1,2,64,0
2012/1/1,2,65,0
2012/1/1,2,66,0
2012/1/1,2,67,0
2012/1/1,2,68,0
2012/1/1,2,69,0
2012/1/1,2,70,0
2012/1/1,2,71,0
2012/1/1,2,72,0
2012/1/1,2,73,0
2012/1/1,2,74,0
2012/1/1,2,75,0
2012/1/1,2,76,0
2012/1/1,2,77,0
2012/1/1,2,78,0
2012/1/1,2,79,0
2012/1/1,2,80,0
2012/1/1,2,81,0
2012/1/1,2,82,0
2012/1/1,2,83,0
2012/1/1,2,84,0
2012/1/1,2,85,0
2012/1/1,2,86,0
2012/1/1,2,87,0
2012/1/1,2,88,0
2012/1/1,2,89,0
2012/1/1,2,90,0
2012/1/1,2,91,0
2012/1/1,2,92,0
2012/1/1,2,93,0
2012/1/1,2,94,0
2012/1/1,2,95,0
2012/1/1,2,96,0
2012/1/1,2,97,0
2012/1/1,2,98,0
2012/1/1,2,99,0
2012/1/1,2,100,0
2012/1/1,2,101,0
2012/1/1,2,102,0
2012/1/1,2,103,0
2012/1/1,2,104,0
2012/1/1,2,105,0
2012/1/1,2,106,0
2012/1/1,2,107,0
2012/1/1,2,108,0
2012/1/1,2,109,0
2012/1/1,2,110,0
2012/1/1,2,111,0
2012/1/1,3,1,0
2012/1/1,3,2,0
2012/1/1,3,3,0
2012/1/1,3,4,0
2012/1/1,3,5,214
2012/1/1,3,6,0
2012/1/1,3,7,0
2012/1/1,3,8,0
2012/1/1,3,9,0
2012/1/1,3,10,0
2012/1/1,3,11,0
2012/1/1,3,12,0
2012/1/1,3,13,0
2012/1/1,3,14,0
2012/1/1,3,15,0
2012/1/1,3,16,0
2012/1/1,3,17,0
2012/1/1,3,18,0
2012/1/1,3,19,0
2012/1/1,3,20,0
2012/1/1,3,21,0
2012/1/1,3,22,0
2012/1/1,3,23,0
2012/1/1,3,24,0
2012/1/1,3,25,0
2012/1/1,3,26,0
2012/1/1,3,27,0
2012/1/1,3,28,0
2012/1/1,3,29,0
2012/1/1,3,30,0
2012/1/1,3,31,0
2012/1/1,3,32,0
2012/1/1,3,33,0
2012/1/1,3,34,0
2012/1/1,3,35,0
2012/1/1,3,36,0
2012/1/1,3,37,0
2012/1/1,3,38,0
2012/1/1,3,39,0
2012/1/1,3,40,0
2012/1/1,3,41,0
2012/1/1,3,42,0
2012/1/1,3,43,0
2012/1/1,3,44,0
2012/1/1,3,45,112
2012/1/1,3,46,0
2012/1/1,3,47,0
2012/1/1,3,48,0
2012/1/1,3,49,0
2012/1/1,3,50,0
2012/1/1,3,51,0
2012/1/1,3,52,0
2012/1/1,3,53,0
2012/1/1,3,54,0
2012/1/1,3,55,0
2012/1/1,3,56,0
2012/1/1,3,57,0
2012/1/1,3,58,0
2012/1/1,3,59,0
2012/1/1,3,60,0
2012/1/1,3,61,0
2012/1/1,3,62,0
2012/1/1,3,63,0
2012/1/1,3,64,0
2012/1/1,3,65,0
2012/1/1,3,66,0
2012/1/1,3,67,0
2012/1/1,3,68,0
2012/1/1,3,69,0
2012/1/1,3,70,0
2012/1/1,3,71,0
2012/1/1,3,72,0
2012/1/1,3,73,0
2012/1/1,3,74,0
2012/1/1,3,75,0
2012/1/1,3,76,0
2012/1/1,3,77,0
2012/1/1,3,78,0
2012/1/1,3,79,0
2012/1/1,3,80,0
2012/1/1,3,81,0
2012/1/1,3,82,0
2012/1/1,3,83,0
2012/1/1,3,84,0
2012/1/1,3,85,0
2012/1/1,3,86,0
2012/1/1,3,87,0
2012/1/1,3,88,0
2012/1/1,3,89,0
2012/1/1,3,90,0
2012/1/1,3,91,0
2012/1/1,3,92,0
2012/1/1,3,93,0
2012/1/1,3,94,0
2012/1/1,3,95,0
2012/1/1,3,96,0
2012/1/1,3,97,0
2012/1/1,3,98,0
2012/1/1,3,99,0
2012/1/1,3,100,0
2012/1/1,3,101,0
2012/1/1,3,102,0
2012/1/1,3,103,0
2012/1/1,3,104,0
2012/1/1,3,105,0
2012/1/1,3,106,0
2012/1/1,3,107,0
2012/1/1,3,108,0
2012/1/1,3,109,0
2012/1/1,3,110,0
2012/1/1,3,111,0
